iter	RMSE	Poisson
0	12.03711654	0.3231766427
1	11.97712544	-0.3295739031
2	11.91920708	-0.9550754927
3	11.86308541	-1.557012953
4	11.80882777	-2.134307664
5	11.75599964	-2.692784536
6	11.7049615	-3.227547419
7	11.6555569	-3.740631771
8	11.60755953	-4.235057806
9	11.56113226	-4.708601347
10	11.51616324	-5.162773438
11	11.472528	-5.59921969
12	11.43028348	-6.017197235
13	11.38942309	-6.416814417
14	11.3496945	-6.801445166
15	11.31126942	-7.168875679
16	11.27399831	-7.521075886
17	11.2377626	-7.859686478
18	11.20281126	-8.181514075
19	11.16891716	-8.489589086
20	11.13593004	-8.785932244
21	11.10410208	-9.067313013
22	11.07329733	-9.335563232
23	11.04342297	-9.592032413
24	11.01443799	-9.837258638
25	10.98628787	-10.07205783
26	10.9590314	-10.29573288
27	10.93265028	-10.50856517
28	10.90703962	-10.71202732
29	10.88217191	-10.90654091
30	10.85810743	-11.09136783
31	10.83475679	-11.2677532
32	10.8120817	-11.4362653
33	10.79010749	-11.59664998
34	10.7688525	-11.74867194
35	10.74817737	-11.89426535
36	10.72821867	-12.03167519
37	10.70883745	-12.16279625
38	10.68999302	-12.28818566
39	10.67179013	-12.40653851
40	10.6540917	-12.51966064
41	10.63698321	-12.62647549
42	10.62021038	-12.7305229
43	10.60381113	-12.83120836
44	10.58803194	-12.92521861
45	10.57272469	-13.0145821
46	10.5578316	-13.10013394
47	10.54339671	-13.18129424
48	10.5294263	-13.25795074
49	10.51579767	-13.33174139
50	10.50256107	-13.40205796
51	10.48977557	-13.46808007
52	10.4773843	-13.53059831
53	10.46544455	-13.58889739
54	10.45377306	-13.64535225
55	10.44246214	-13.69876741
56	10.43148173	-13.74957097
57	10.42086134	-13.7973504
58	10.41055194	-13.84271484
59	10.40058225	-13.88536542
60	10.3908514	-13.92653725
61	10.38142909	-13.96541879
62	10.37229313	-14.00219573
63	10.36348417	-14.03633318
64	10.35488023	-14.06944793
65	10.34653455	-14.10084526
66	10.33841537	-14.13091396
67	10.33054164	-14.15934052
68	10.32289112	-14.1863913
69	10.31545001	-14.21232999
70	10.30829989	-14.23599307
71	10.30132864	-14.25874755
72	10.29458579	-14.28012457
73	10.28807162	-14.29999388
74	10.28166298	-14.32012391
75	10.27551932	-14.33808226
76	10.26954438	-14.35522807
77	10.26372499	-14.37185813
78	10.25802542	-14.38824689
79	10.25255262	-14.40296507
80	10.24724319	-14.41696585
81	10.24205712	-14.43080262
82	10.23702881	-14.44372546
83	10.23216648	-14.45585739
84	10.22747908	-14.46691955
85	10.22289882	-14.47776767
86	10.21844686	-14.48820373
87	10.21416377	-14.49761983
88	10.20996082	-14.5071574
89	10.20589044	-14.51605579
90	10.20191997	-14.52481465
91	10.19807041	-14.53305186
92	10.19431449	-14.54119589
93	10.19070093	-14.54843309
94	10.18719976	-14.55523756
95	10.18376956	-14.56211494
96	10.18045509	-14.56846919
97	10.177234	-14.57469129
98	10.17410832	-14.58044822
99	10.1710914	-14.58566788
100	10.16813501	-14.59106666
101	10.16529185	-14.59582752
102	10.16253252	-14.60034016
103	10.15985036	-14.60481726
104	10.15724286	-14.60894137
105	10.15467816	-14.61348781
106	10.15223167	-14.61717294
107	10.14980834	-14.62127676
108	10.14746275	-14.62508177
109	10.14522819	-14.62824242
110	10.14304508	-14.63134299
111	10.14091539	-14.63451389
112	10.13881021	-14.63808303
113	10.13677466	-14.64126242
114	10.13480845	-14.64422039
115	10.13289653	-14.64699618
116	10.13103858	-14.64977335
117	10.12925281	-14.65232061
118	10.12752907	-14.65453221
119	10.12584737	-14.65684732
120	10.12422517	-14.65876589
121	10.12261996	-14.66103343
122	10.12106492	-14.66306407
123	10.11954183	-14.66519097
124	10.118086	-14.66700145
125	10.11667414	-14.66873279
126	10.11531422	-14.6702611
127	10.11400054	-14.67168463
128	10.11271233	-14.67336924
129	10.11143377	-14.67502941
130	10.11018873	-14.67672575
131	10.10897576	-14.67839378
132	10.10781729	-14.67983631
133	10.10668668	-14.68154584
134	10.10558273	-14.68299706
135	10.10453059	-14.68417157
136	10.10349057	-14.68550202
137	10.10247458	-14.68671148
138	10.10147683	-14.68808458
